SocialContext,VisualRealm,Parameter,beta,SE,df,CI_L,CI_U
Male-Male Display,Luminance Contrast,(Intercept),36.41610584,0.884620102,27.53282529,34.6026575,38.22955419
,,sc_SVL,0.122354148,0.04317561,21.49651934,0.032691664,0.212016632
,,PopulationKenya,-12.53334172,1.179741288,27.74453836,-14.95093504,-10.11574839
,Chromatic Contrast,(Intercept)1,4.789221674,0.182925439,27.53201809,4.414228749,5.1642146
,,sc_SVL1,0.020793263,0.009183302,21.49562064,0.001722318,0.039864208
,,PopulationKenya1,-0.401420862,0.286923569,27.74482101,-0.989400779,0.186559054
Courtship Display,Luminance Contrast,(Intercept)2,34.06560128,1.275814482,20.66433718,31.40977317,36.72142939
,,sc_SVL2,0.059779556,0.071196084,19.20144775,-0.089129818,0.20868893
,,PopulationKenya2,-12.32750964,1.720948765,27.57510218,-15.85516216,-8.799857122
,Chromatic Contrast,(Intercept)3,4.590446184,0.215662421,20.64409187,4.141480353,5.039412016
,,sc_SVL3,0.017631975,0.015080514,19.20301954,-0.013909333,0.049173283
,,PopulationKenya3,-0.537751289,0.349803099,27.59030794,-1.25477011,0.179267532
